Platform,Apple MacBook M1 Pro (2020),Lenovo ThinkPad X13s,Samsung S23 Ultra: Performance,Samsung S23 Ultra: Power Save,Raspberry Pi 4
Geekbench 6 Single,2323,1658,1990,1862,255
Geekbench 6 Multi,8150,7052,5168,5233,580
PassMark CPU,13785,6500,9710,9499,504
PassMark RAM,2805,1889,34871,36779,662
john md5 virtual/idle,15311,89932,81984,80864,22438
john md5 real,15280,12895,27465,20266,5637
V8 Benchmark Suite V5,60197,39345,46355,44317,7666
V8 Richards,36442,26915,30410,28561,6300
V8 DeltaBlue,117243,84109,99659,84713,14100
V8 Crypto,45871,36151,44540,42499,8359
V8 RayTrace,135516,81702,88976,85712,15560
V8 EarleyBoyer,108753,57981,80506,79858,11950
V8 RegExp,15646,9823,12267,11674,1791
V8 Splay,63378,38329,38777,40865,6287